; TSI Reconstruction from IPCC AR5 (based on Krivova et al., JGR, 2010, Ball et al., A&A, 2012, & Yeo et al., A&A, 2014)
; Offset -0.2529 W/m^2 to match SORCE/TIM absolute value
;    from Kopp & Lean (GRL, 2011)
; Extended using SORCE/TIM annual averages from 2003 onward
; Computed by Greg Kopp using TIM V.17 on Mon Jun 22 13:07:38 2015
;
; Year   TSI [W/m^2]
1610.5     1359.8886
1611.5     1360.1994
1612.5     1360.4240
1613.5     1360.7240
1614.5     1360.8667
1615.5     1360.7973
1616.5     1360.4242
1617.5     1360.1043
1618.5     1360.0087
1619.5     1360.0473
1620.5     1360.1030
1621.5     1360.1069
1622.5     1360.1069
1623.5     1360.1069
1624.5     1360.0711
1625.5     1360.1738
1626.5     1360.2546
1627.5     1360.1571
1628.5     1360.1384
1629.5     1360.1557
1630.5     1360.0694
1631.5     1360.0069
1632.5     1360.0002
1633.5     1360.0390
1634.5     1360.0555
1635.5     1360.0193
1636.5     1360.0055
1637.5     1359.9585
1638.5     1360.2033
1639.5     1360.5424
1640.5     1360.3738
1641.5     1360.0485
1642.5     1360.1585
1643.5     1360.2443
1644.5     1360.1139
1645.5     1360.0415
1646.5     1359.9905
1647.5     1359.9869
1648.5     1359.9869
1649.5     1359.9869
1650.5     1359.9869
1651.5     1359.9869
1652.5     1360.0011
1653.5     1360.0060
1654.5     1359.9969
1655.5     1359.9872
1656.5     1359.9869
1657.5     1359.9869
1658.5     1359.9869
1659.5     1359.9869
1660.5     1359.9919
1661.5     1359.9969
1662.5     1359.9891
1663.5     1359.9869
1664.5     1359.9869
1665.5     1359.9869
1666.5     1359.9869
1667.5     1359.9869
1668.5     1359.9869
1669.5     1359.9869
1670.5     1359.9869
1671.5     1359.9890
1672.5     1359.9899
1673.5     1359.9869
1674.5     1359.9869
1675.5     1359.9869
1676.5     1359.9918
1677.5     1359.9938
1678.5     1359.9869
1679.5     1359.9869
1680.5     1359.9869
1681.5     1359.9869
1682.5     1359.9869
1683.5     1359.9869
1684.5     1359.9914
1685.5     1359.9921
1686.5     1359.9869
1687.5     1359.9869
1688.5     1359.9869
1689.5     1359.9869
1690.5     1359.9869
1691.5     1359.9869
1692.5     1359.9869
1693.5     1359.9869
1694.5     1359.9869
1695.5     1359.9924
1696.5     1359.9969
1697.5     1359.9969
1698.5     1359.9969
1699.5     1359.9969
1700.5     1359.9997
1701.5     1360.0032
1702.5     1360.0042
1703.5     1360.0128
1704.5     1360.0273
1705.5     1360.0407
1706.5     1360.0390
1707.5     1360.0428
1708.5     1360.0499
1709.5     1360.0447
1710.5     1360.0456
1711.5     1360.0506
1712.5     1360.0607
1713.5     1360.0732
1714.5     1360.0857
1715.5     1360.1043
1716.5     1360.1387
1717.5     1360.2024
1718.5     1360.1973
1719.5     1360.2658
1720.5     1360.3458
1721.5     1360.3163
1722.5     1360.2863
1723.5     1360.2274
1724.5     1360.2572
1725.5     1360.2991
1726.5     1360.3899
1727.5     1360.4887
1728.5     1360.6229
1729.5     1360.5745
1730.5     1360.6117
1731.5     1360.5327
1732.5     1360.3062
1733.5     1360.2971
1734.5     1360.2038
1735.5     1360.2465
1736.5     1360.4468
1737.5     1360.4899
1738.5     1360.3400
1739.5     1360.4580
1740.5     1360.4259
1741.5     1360.4464
1742.5     1360.5019
1743.5     1360.3073
1744.5     1360.2389
1745.5     1360.2060
1746.5     1360.2092
1747.5     1360.1830
1748.5     1360.4140
1749.5     1360.6971
1750.5     1360.7186
1751.5     1360.6179
1752.5     1360.5046
1753.5     1360.4756
1754.5     1360.4038
1755.5     1360.3243
1756.5     1360.3166
1757.5     1360.3675
1758.5     1360.3526
1759.5     1359.9696
1760.5     1359.8986
1761.5     1360.6014
1762.5     1360.6692
1763.5     1360.5859
1764.5     1360.5589
1765.5     1360.3239
1766.5     1360.3663
1767.5     1360.4553
1768.5     1360.8386
1769.5     1361.0848
1770.5     1361.3119
1771.5     1361.1232
1772.5     1361.1022
1773.5     1360.8346
1774.5     1360.7060
1775.5     1360.4378
1776.5     1360.3899
1777.5     1360.4527
1778.5     1360.8410
1779.5     1360.4679
1780.5     1360.2114
1781.5     1360.2975
1782.5     1360.5128
1783.5     1360.2385
1784.5     1360.2879
1785.5     1360.3773
1786.5     1360.5545
1787.5     1360.7143
1788.5     1360.9662
1789.5     1360.4755
1790.5     1360.2955
1791.5     1360.3070
1792.5     1360.3472
1793.5     1360.2406
1794.5     1360.2485
1795.5     1360.5191
1796.5     1360.4747
1797.5     1360.4013
1798.5     1360.3908
1799.5     1360.3707
1800.5     1360.3144
1801.5     1360.5619
1802.5     1360.6487
1803.5     1360.4763
1804.5     1360.4233
1805.5     1360.3805
1806.5     1360.4508
1807.5     1360.2984
1808.5     1360.2396
1809.5     1360.2434
1810.5     1360.2068
1811.5     1360.1918
1812.5     1360.1908
1813.5     1360.2095
1814.5     1360.2476
1815.5     1360.2628
1816.5     1360.3335
1817.5     1360.3642
1818.5     1360.3287
1819.5     1360.3185
1820.5     1360.2834
1821.5     1360.2412
1822.5     1360.2338
1823.5     1360.2183
1824.5     1360.2834
1825.5     1360.3381
1826.5     1360.3964
1827.5     1360.5867
1828.5     1360.6612
1829.5     1360.6745
1830.5     1360.7294
1831.5     1360.7293
1832.5     1360.5746
1833.5     1360.4653
1834.5     1360.4387
1835.5     1360.4778
1836.5     1360.8461
1837.5     1361.1211
1838.5     1361.0956
1839.5     1360.9239
1840.5     1360.9192
1841.5     1360.7705
1842.5     1360.6759
1843.5     1360.6200
1844.5     1360.5440
1845.5     1360.5277
1846.5     1360.5451
1847.5     1360.2603
1848.5     1360.5856
1849.5     1361.0352
1850.5     1360.8980
1851.5     1360.8337
1852.5     1360.8682
1853.5     1360.7956
1854.5     1360.6468
1855.5     1360.5199
1856.5     1360.4434
1857.5     1360.4455
1858.5     1360.5735
1859.5     1360.6699
1860.5     1360.9343
1861.5     1360.9804
1862.5     1360.8132
1863.5     1360.7601
1864.5     1360.5928
1865.5     1360.5840
1866.5     1360.5643
1867.5     1360.4498
1868.5     1360.4348
1869.5     1360.6792
1870.5     1360.5113
1871.5     1360.9019
