This file contains the monthly mean baseline (background) carbon dioxide (CO2) concentration
measured at the Cape Grim Baseline Air Pollution Station (CGBAPS), 
located near the north-west tip of Tasmania, Australia.
CGBAPS is funded and managed by the Australian Bureau of Meteorology, and
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere Flagship.
Please acknowledge these two institutions if these data are used in publications or presentations.

For more information on Cape Grim please see:
http://www.csiro.au/greenhouse-gases/
http://www.csiro.au/places/Cape-Grim.html
http://www.bom.gov.au/inside/cgbaps/

The CO2 units are parts per million in dry air (ppm).

The most recent year of data is provided in this file on
a provisional basis only. These data may be subject to further revision. 
CSIRO & the Bureau make every effort to produce the most accurate and 
precise measurements possible. However, they reserve the right to make
corrections to the data based on recalibration of standard gases
or for other reasons deemed scientifically justified.
Please see the full terms & conditions at the end of this file.

Release Date: July 2015
 
YYYY MM DD   DATE     CO2(ppm)   SD(ppm)    Source
1976 05 15  1976.3689   328.86     0.17     in situ
1976 06 15  1976.4536   328.99     0.28     in situ
1976 07 15  1976.5355   329.65     0.28     in situ
1976 08 15  1976.6202   330.55     0.20     in situ
1976 09 15  1976.7049   330.87     0.23     in situ
1976 10 15  1976.7869   330.90     0.01     in situ
1976 11 15  1976.8716   330.88     0.24     in situ
1976 12 15  1976.9536   330.68     0.19     in situ
1977 01 15  1977.0384   330.53     0.23     in situ
1977 02 15  1977.1233   330.54     0.20     in situ
1977 03 15  1977.2000   330.72     0.12     in situ
1977 04 15  1977.2849   330.80     0.18     in situ
1977 05 15  1977.3671   331.01     0.13     in situ
1977 06 15  1977.4521   331.50     0.20     in situ
1977 07 15  1977.5342   331.80     0.21     in situ
1977 08 15  1977.6192   332.33     0.22     in situ
1977 09 15  1977.7041   332.94     0.11     in situ
1977 10 15  1977.7863   333.03     0.20     in situ
1977 11 15  1977.8712   332.78     0.23     in situ
1977 12 15  1977.9534   332.38     0.26     in situ
1978 01 15  1978.0384   332.09     0.20     in situ
1978 02 15  1978.1233   332.17     0.25     in situ
1978 03 15  1978.2000   332.40     0.20     in situ
1978 04 15  1978.2849   332.47     0.20     in situ
1978 05 15  1978.3671   332.65     0.20     in situ
1978 06 15  1978.4521   333.02     0.10     in situ
1978 07 15  1978.5342   333.32     0.24     in situ
1978 08 15  1978.6192   333.93     0.36     in situ
1978 09 15  1978.7041   334.98     0.39     in situ
1978 10 15  1978.7863   335.33     0.20     in situ
1978 11 15  1978.8712   334.83     0.20     in situ
1978 12 15  1978.9534   334.53     0.20     in situ
1979 01 15  1979.0384   334.50     0.21     in situ
1979 02 15  1979.1233   334.58     0.21     in situ
1979 03 15  1979.2000   334.76     0.20     in situ
1979 04 15  1979.2849   334.70     0.22     in situ
1979 05 15  1979.3671   334.63     0.18     in situ
1979 06 15  1979.4521   334.89     0.20     in situ
1979 07 15  1979.5342   335.45     0.26     in situ
1979 08 15  1979.6192   335.94     0.17     in situ
1979 09 15  1979.7041   335.98     0.21     in situ
